tube_id	genotype	microbiome	sex	ear_punch	date_of_birth	cage	cohort	file_paths	uuid
SPF B6 M6	B6J	SPF	M	L	4/29/24	4	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_B6_M6/CALTEC-001-SPF_B6_M6_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_B6_M6/CALTEC-001-SPF_B6_M6_R2.fastq.gz;	09c7df01-2f24-417b-a94d-65a2739744e3
SPF P1 F1	Pink1 KO	SPF	F	N	4/5/24	5	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_F1/CALTEC-001-SPF_P1_F1_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_F1/CALTEC-001-SPF_P1_F1_R2.fastq.gz;	85275803-f612-44c2-bfb0-a3578a8f3d6b
SPF P1 F2	Pink1 KO	SPF	F	R	4/5/24	5	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_F2/CALTEC-001-SPF_P1_F2_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_F2/CALTEC-001-SPF_P1_F2_R2.fastq.gz;	a5f06bd9-8478-4ac0-9cda-b8d4b0321b0e
SPF P1 F3	Pink1 KO	SPF	F	L	4/5/24	5	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_F3/CALTEC-001-SPF_P1_F3_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_F3/CALTEC-001-SPF_P1_F3_R2.fastq.gz;	0fddf13b-0192-41e3-9559-ffd26b9a0652
SPF P1 F4	Pink1 KO	SPF	F	N	5/3/24	6	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_F4/CALTEC-001-SPF_P1_F4_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_F4/CALTEC-001-SPF_P1_F4_R2.fastq.gz;	f61e41aa-3fc7-4472-a84f-72930a70207b
SPF P1 F5	Pink1 KO	SPF	F	R	5/3/24	6	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_F5/CALTEC-001-SPF_P1_F5_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_F5/CALTEC-001-SPF_P1_F5_R2.fastq.gz;	98dd1ab0-a893-4df6-8616-e493c705bfd1
SPF P1 F6	Pink1 KO	SPF	F	L	5/3/24	6	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_F6/CALTEC-001-SPF_P1_F6_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_F6/CALTEC-001-SPF_P1_F6_R2.fastq.gz;	b95f7cf3-dcf5-4d7e-95f2-24825c5ed38d
SPF P1 M1	Pink1 KO	SPF	M	N	4/5/24	7	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_M1/CALTEC-001-SPF_P1_M1_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_M1/CALTEC-001-SPF_P1_M1_R2.fastq.gz;	26c6d1e0-8677-47d9-993d-d59c7a432caf
SPF P1 M2	Pink1 KO	SPF	M	R	4/5/24	7	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_M2/CALTEC-001-SPF_P1_M2_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_M2/CALTEC-001-SPF_P1_M2_R2.fastq.gz;	9057fab9-2dcd-4be1-85be-256cbbf4c6ef
SPF P1 M3	Pink1 KO	SPF	M	L	4/5/24	7	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_M3/CALTEC-001-SPF_P1_M3_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_M3/CALTEC-001-SPF_P1_M3_R2.fastq.gz;	734bf5f4-8536-48f2-83fc-f9293a05b335
SPF P1 M4	Pink1 KO	SPF	M	N	4/29/24	8	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_M4/CALTEC-001-SPF_P1_M4_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_M4/CALTEC-001-SPF_P1_M4_R2.fastq.gz;	4e20b2f8-45a1-4a02-814f-acb4612fe36a
SPF P1 M5	Pink1 KO	SPF	M	R	4/29/24	8	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_M5/CALTEC-001-SPF_P1_M5_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_M5/CALTEC-001-SPF_P1_M5_R2.fastq.gz;	d9d89f93-b053-4764-af6d-88f4aa797deb
SPF P1 M6	Pink1 KO	SPF	M	L	4/29/24	8	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_M6/CALTEC-001-SPF_P1_M6_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_M6/CALTEC-001-SPF_P1_M6_R2.fastq.gz;	e4eb1c7a-b0a0-4f46-82d5-5f0e729f5d92
HC B6 F1	B6J	HCOM2	F	N	4/3/24	9	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_F1/CALTEC-001-HC_B6_F1_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_F1/CALTEC-001-HC_B6_F1_R2.fastq.gz;	5418b89d-bd49-43cf-8ddb-5e19fbc81827
HC B6 F2	B6J	HCOM2	F	R	4/3/24	9	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_F2/CALTEC-001-HC_B6_F2_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_F2/CALTEC-001-HC_B6_F2_R2.fastq.gz;	d41f3022-1ee3-4787-a259-9704fe460582
HC B6 F3	B6J	HCOM2	F	L	4/3/24	9	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_F3/CALTEC-001-HC_B6_F3_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_F3/CALTEC-001-HC_B6_F3_R2.fastq.gz;	044f2603-dfdc-41d5-a880-fd40244a60d9
HC B6 F4	B6J	HCOM2	F	RL	4/3/24	9	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_F4/CALTEC-001-HC_B6_F4_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_F4/CALTEC-001-HC_B6_F4_R2.fastq.gz;	8cd80f2e-411b-4f34-b00b-c7e508f1e2ce
HC B6 F5	B6J	HCOM2	F	N	4/30/24	10	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_F5/CALTEC-001-HC_B6_F5_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_F5/CALTEC-001-HC_B6_F5_R2.fastq.gz;	9143bc22-7b05-4419-8c82-90cb0aee328e
HC B6 M1	B6J	HCOM2	M	N	4/3/24	11	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_M1/CALTEC-001-HC_B6_M1_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_M1/CALTEC-001-HC_B6_M1_R2.fastq.gz;	887295ed-b2f2-4bc5-aa57-bcdfa8865dee
HC B6 M2	B6J	HCOM2	M	R	4/3/24	11	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_M2/CALTEC-001-HC_B6_M2_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_M2/CALTEC-001-HC_B6_M2_R2.fastq.gz;	b976f3e2-c85d-4445-bd39-4b015e88c57a
HC B6 M3	B6J	HCOM2	M	L	4/3/24	11	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_M3/CALTEC-001-HC_B6_M3_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_M3/CALTEC-001-HC_B6_M3_R2.fastq.gz;	86b2a92a-cdcc-41cf-9a41-b65edd14c4b3
HC B6 M4	B6J	HCOM2	M	N	4/30/24	12	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_M4/CALTEC-001-HC_B6_M4_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_M4/CALTEC-001-HC_B6_M4_R2.fastq.gz;	1d5dadbb-3df9-4892-9ef7-336b46e74215
HC B6 M5	B6J	HCOM2	M	R	4/30/24	12	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_M5/CALTEC-001-HC_B6_M5_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_M5/CALTEC-001-HC_B6_M5_R2.fastq.gz;	87ff74f5-75e7-436f-8da8-d69864ccd9d6
HC B6 M6	B6J	HCOM2	M	L	4/30/24	12	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_M6/CALTEC-001-HC_B6_M6_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_M6/CALTEC-001-HC_B6_M6_R2.fastq.gz;	74e914f3-8c55-4f9a-b77f-9789da8efd4a
HC P1 F1	PINK1 KO	HCOM2	F	N	3/23/24	13	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_F1/CALTEC-001-HC_P1_F1_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_F1/CALTEC-001-HC_P1_F1_R2.fastq.gz;	14f179c3-be12-439a-a3e7-93011c8b1e26
HC P1 F2	PINK1 KO	HCOM2	F	R	3/23/24	13	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_F2/CALTEC-001-HC_P1_F2_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_F2/CALTEC-001-HC_P1_F2_R2.fastq.gz;	e8fd933e-4a11-4f7f-8b41-1f53e2787e02
HC P1 F3	PINK1 KO	HCOM2	F	L	3/23/24	13	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_F3/CALTEC-001-HC_P1_F3_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_F3/CALTEC-001-HC_P1_F3_R2.fastq.gz;	a7cc7c8f-f0ba-43e3-8237-d7941e54bd56
HC P1 F4	PINK1 KO	HCOM2	F	N	5/8/24	14	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_F4/CALTEC-001-HC_P1_F4_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_F4/CALTEC-001-HC_P1_F4_R2.fastq.gz;	c6b5ac84-1ee4-4844-9680-308b728f9610
HC P1 F5	PINK1 KO	HCOM2	F	R	5/8/24	14	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_F5/CALTEC-001-HC_P1_F5_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_F5/CALTEC-001-HC_P1_F5_R2.fastq.gz;	5265992e-08ca-4bad-b4ea-93998b3d1c22
HC P1 F6	PINK1 KO	HCOM2	F	L	5/8/24	14	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_F6/CALTEC-001-HC_P1_F6_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_F6/CALTEC-001-HC_P1_F6_R2.fastq.gz;	168d4d73-28c1-4d93-8342-ffa67d911843
HC P1 M1	PINK1 KO	HCOM2	M	N	3/23/24	15	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_M1/CALTEC-001-HC_P1_M1_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_M1/CALTEC-001-HC_P1_M1_R2.fastq.gz;	3e899701-e73e-4cb2-97dd-e32449e542a6
HC P1 M2	PINK1 KO	HCOM2	M	R	3/23/24	15	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_M2/CALTEC-001-HC_P1_M2_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_M2/CALTEC-001-HC_P1_M2_R2.fastq.gz;	488949dd-1378-495b-9186-dbd602c1b36d
HC P1 M3	PINK1 KO	HCOM2	M	L	3/23/24	15	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_M3/CALTEC-001-HC_P1_M3_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_M3/CALTEC-001-HC_P1_M3_R2.fastq.gz;	55874d74-f5d8-4895-9b82-ba4cc042fd99
HC P1 M4	PINK1 KO	HCOM2	M	N	5/8/24	16	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_M4/CALTEC-001-HC_P1_M4_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_M4/CALTEC-001-HC_P1_M4_R2.fastq.gz;	6b59181a-589a-40f0-af5f-28155c756da1
HC P1 M5	PINK1 KO	HCOM2	M	L	5/8/24	16	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_M5/CALTEC-001-HC_P1_M5_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_M5/CALTEC-001-HC_P1_M5_R2.fastq.gz;	57d43acd-f3d5-4b15-8130-8f9afad32855
HC P1 M6	PINK1 KO	HCOM2	M	RL	5/8/24	16	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_M6/CALTEC-001-HC_P1_M6_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_M6/CALTEC-001-HC_P1_M6_R2.fastq.gz;	ee2ced5d-53d6-4b90-b533-e29ea4e1122f
