SAMPLE ID	Treatment	GENOTYPE	Cage	Age	Time to cross challenge beam  (s)	Adhesive removal (s)	Time to descend Pole (s)	Errors on bean crossing (n)	Weight (g)	Bead Expulsion time (s)	Fecal Output (n)
CALTEC-001-221	FMT from 2month-old WT animals treated with  Erythromycin transplant	ASO 	7	5 months	9.45	8.45	8.54	2	36.5	189	15
CALTEC-001-222	FMT from 2month-old WT animals treated with  Erythromycin transplant	ASO 	8	5 months	8.44	2.31	7.9	1	39	179	13
CALTEC-001-223	FMT from 2month-old WT animals treated with  Erythromycin transplant	ASO 	8	5 months	12.71	1.45	12.68	3	38.5	190	12
CALTEC-001-224	FMT from 2month-old WT animals treated with  Erythromycin transplant	ASO 	8	5 months	19.23	4.32	9.45	2	35.6	202	3
CALTEC-001-225	Fecal pellet from 5month old ASO animals 	ASO 	8	5 months	30	12.7	30	12	28.5	300	4
CALTEC-001-226	Fecal pellet from 5month old ASO animals 	ASO 	9	5 months	16.12	13.39	30	10	32.5	300	4
CALTEC-001-227	Fecal pellet from 5month old ASO animals 	ASO 	9	5 months	28.08	7.65	30	5	35	275	3
CALTEC-001-228	Fecal pellet from 5month old ASO animals 	ASO 	9	5 months	30	11.14	19	10	28	282	1
CALTEC-001-229	Fecal pellet from 5month old ASO animals 	ASO 	9	5 months	23.27	11.19	30	8	30	278	6
CALTEC-001-230	Fecal pellet from 5month old ASO animals 	ASO 	9	5 months	9.27	2.4	19	5	27	289	4
CALTEC-001-231	Fecal pellet from 5month old ASO animals 	ASO 	10	5 months	25	18	28	7	27	287	6
CALTEC-001-232	Fecal pellet from 5month old ASO animals 	ASO 	10	5 months	30	19	25	9	28	222	1
CALTEC-001-233	Fecal pellet from 5month old ASO animals 	ASO 	10	5 months	25	15	22.12	6	29	221	5
CALTEC-001-234	Fecal pellet from 5month old ASO animals 	ASO 	10	5 months	30	17.89	17.65	8	29.5	254	3
