sample_name	library_ID	title	DNA_extraction_kit	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	run_id	run_date	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file	geo_loc_name_country	lat_lon	collection_date	mouse_id	genotype	microbiome	sex	age_weeks	date_of_birth	ear_punch	cage	cohort	unitn_file_paths	uuid	study_name
CALTEC-001-SPF_B6_M6	CALTEC-001-SPF_B6_M6	Fecal metagenome of  20-week-old B6J wild-type male mouse colonized with SPF microbiome community	QIAamp PowerFecal Pro	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq X Plus	435	3/7/25	"DNA was isolated from one mouse stool sample pellet using the Qiagen QIAamp PowerFecal Pro kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic."	fastq							USA	34.1374596;-118.1268381	2024	SPF_B6_M6	B6J	SPF	M	20	4/29/24	L	4	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_B6_M6/CALTEC-001-SPF_B6_M6_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_B6_M6/CALTEC-001-SPF_B6_M6_R2.fastq.gz;	09c7df01-2f24-417b-a94d-65a2739744e3	MazmanianS_SchonhoffA
CALTEC-001-SPF_P1_F1	CALTEC-001-SPF_P1_F1	Fecal metagenome of  20-week-old PINK1 KO female mouse colonized with SPF microbiome community	QIAamp PowerFecal Pro	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq X Plus	435	3/7/25	"DNA was isolated from one mouse stool sample pellet using the Qiagen QIAamp PowerFecal Pro kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic."	fastq							USA	34.1374596;-118.1268382	2024	SPF_P1_F1	PINK1 KO	SPF	F	20	4/5/24	N	5	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_F1/CALTEC-001-SPF_P1_F1_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_F1/CALTEC-001-SPF_P1_F1_R2.fastq.gz;	85275803-f612-44c2-bfb0-a3578a8f3d6b	MazmanianS_SchonhoffA
CALTEC-001-SPF_P1_F2	CALTEC-001-SPF_P1_F2	Fecal metagenome of  20-week-old PINK1 KO female mouse colonized with SPF microbiome community	QIAamp PowerFecal Pro	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq X Plus	435	3/7/25	"DNA was isolated from one mouse stool sample pellet using the Qiagen QIAamp PowerFecal Pro kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic."	fastq							USA	34.1374596;-118.1268383	2024	SPF_P1_F2	PINK1 KO	SPF	F	20	4/5/24	R	5	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_F2/CALTEC-001-SPF_P1_F2_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_F2/CALTEC-001-SPF_P1_F2_R2.fastq.gz;	a5f06bd9-8478-4ac0-9cda-b8d4b0321b0e	MazmanianS_SchonhoffA
CALTEC-001-SPF_P1_F3	CALTEC-001-SPF_P1_F3	Fecal metagenome of  20-week-old PINK1 KO female mouse colonized with SPF microbiome community	QIAamp PowerFecal Pro	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq X Plus	435	3/7/25	"DNA was isolated from one mouse stool sample pellet using the Qiagen QIAamp PowerFecal Pro kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic."	fastq							USA	34.1374596;-118.1268384	2024	SPF_P1_F3	PINK1 KO	SPF	F	20	4/5/24	L	5	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_F3/CALTEC-001-SPF_P1_F3_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_F3/CALTEC-001-SPF_P1_F3_R2.fastq.gz;	0fddf13b-0192-41e3-9559-ffd26b9a0652	MazmanianS_SchonhoffA
CALTEC-001-SPF_P1_F4	CALTEC-001-SPF_P1_F4	Fecal metagenome of  20-week-old PINK1 KO female mouse colonized with SPF microbiome community	QIAamp PowerFecal Pro	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq X Plus	435	3/7/25	"DNA was isolated from one mouse stool sample pellet using the Qiagen QIAamp PowerFecal Pro kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic."	fastq							USA	34.1374596;-118.1268385	2024	SPF_P1_F4	PINK1 KO	SPF	F	20	5/3/24	N	6	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_F4/CALTEC-001-SPF_P1_F4_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_F4/CALTEC-001-SPF_P1_F4_R2.fastq.gz;	f61e41aa-3fc7-4472-a84f-72930a70207b	MazmanianS_SchonhoffA
CALTEC-001-SPF_P1_F5	CALTEC-001-SPF_P1_F5	Fecal metagenome of  20-week-old PINK1 KO female mouse colonized with SPF microbiome community	QIAamp PowerFecal Pro	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq X Plus	435	3/7/25	"DNA was isolated from one mouse stool sample pellet using the Qiagen QIAamp PowerFecal Pro kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic."	fastq							USA	34.1374596;-118.1268386	2024	SPF_P1_F5	PINK1 KO	SPF	F	20	5/3/24	R	6	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_F5/CALTEC-001-SPF_P1_F5_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_F5/CALTEC-001-SPF_P1_F5_R2.fastq.gz;	98dd1ab0-a893-4df6-8616-e493c705bfd1	MazmanianS_SchonhoffA
CALTEC-001-SPF_P1_F6	CALTEC-001-SPF_P1_F6	Fecal metagenome of  20-week-old PINK1 KO female mouse colonized with SPF microbiome community	QIAamp PowerFecal Pro	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq X Plus	435	3/7/25	"DNA was isolated from one mouse stool sample pellet using the Qiagen QIAamp PowerFecal Pro kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic."	fastq							USA	34.1374596;-118.1268387	2024	SPF_P1_F6	PINK1 KO	SPF	F	20	5/3/24	L	6	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_F6/CALTEC-001-SPF_P1_F6_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_F6/CALTEC-001-SPF_P1_F6_R2.fastq.gz;	b95f7cf3-dcf5-4d7e-95f2-24825c5ed38d	MazmanianS_SchonhoffA
CALTEC-001-SPF_P1_M1	CALTEC-001-SPF_P1_M1	Fecal metagenome of  20-week-old PINK1 KO male mouse colonized with SPF microbiome community	QIAamp PowerFecal Pro	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq X Plus	435	3/7/25	"DNA was isolated from one mouse stool sample pellet using the Qiagen QIAamp PowerFecal Pro kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic."	fastq							USA	34.1374596;-118.1268388	2024	SPF_P1_M1	PINK1 KO	SPF	M	20	4/5/24	N	7	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_M1/CALTEC-001-SPF_P1_M1_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_M1/CALTEC-001-SPF_P1_M1_R2.fastq.gz;	26c6d1e0-8677-47d9-993d-d59c7a432caf	MazmanianS_SchonhoffA
CALTEC-001-SPF_P1_M2	CALTEC-001-SPF_P1_M2	Fecal metagenome of  20-week-old PINK1 KO male mouse colonized with SPF microbiome community	QIAamp PowerFecal Pro	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq X Plus	435	3/7/25	"DNA was isolated from one mouse stool sample pellet using the Qiagen QIAamp PowerFecal Pro kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic."	fastq							USA	34.1374596;-118.1268389	2024	SPF_P1_M2	PINK1 KO	SPF	M	20	4/5/24	R	7	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_M2/CALTEC-001-SPF_P1_M2_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_M2/CALTEC-001-SPF_P1_M2_R2.fastq.gz;	9057fab9-2dcd-4be1-85be-256cbbf4c6ef	MazmanianS_SchonhoffA
CALTEC-001-SPF_P1_M3	CALTEC-001-SPF_P1_M3	Fecal metagenome of  20-week-old PINK1 KO male mouse colonized with SPF microbiome community	QIAamp PowerFecal Pro	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq X Plus	435	3/7/25	"DNA was isolated from one mouse stool sample pellet using the Qiagen QIAamp PowerFecal Pro kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic."	fastq							USA	34.1374596;-118.1268390	2024	SPF_P1_M3	PINK1 KO	SPF	M	20	4/5/24	L	7	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_M3/CALTEC-001-SPF_P1_M3_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_M3/CALTEC-001-SPF_P1_M3_R2.fastq.gz;	734bf5f4-8536-48f2-83fc-f9293a05b335	MazmanianS_SchonhoffA
